jogador,nacionalidade,posicao,equipe,idade,nascimento,indices
Gustavo Mosquito,br BRA,AT.LT,Corinthians,25.0,1997.0,"{'MP': 11, 'Min.': 308.0, 'Mn/MP': 28, 'Min%': 90.0, '90s': 3.4, 'Inícios': 1, 'Mn/Início': 45, 'Compl': 0, 'Subs.': 10, 'Mn/Sub': 26, 'unSub': 1, 'PPM': 109.0, 'onG': 4, 'onGA': 5, '+/-': -1, '+/-90': -29.0, 'Ligado-Desligado': -29.0, 'onxG': 2.4, 'onxGA': 8.7, 'xG+/-': -62.0, 'xG+/-90': -182.0, 'Ligado-Desligado.1': -174.0}"
Hugo Moura,br BRA,LT,Ath Paranaense,25.0,1998.0,"{'MP': 30, 'Min.': 1.327, 'Mn/MP': 44, 'Min%': 388.0, '90s': 14.7, 'Inícios': 15, 'Mn/Início': 73, 'Compl': 5, 'Subs.': 15, 'Mn/Sub': 15, 'unSub': 6, 'PPM': 150.0, 'onG': 13, 'onGA': 19, '+/-': -6, '+/-90': -41.0, 'Ligado-Desligado': -101.0, 'onxG': 15.4, 'onxGA': 22.2, 'xG+/-': -69.0, 'xG+/-90': -47.0, 'Ligado-Desligado.1': -95.0}"
Lucas Moura,br BRA,AT.LT,São Paulo,30.0,1992.0,"{'MP': 14, 'Min.': 867.0, 'Mn/MP': 62, 'Min%': 254.0, '90s': 9.6, 'Inícios': 10, 'Mn/Início': 71, 'Compl': 2, 'Subs.': 4, 'Mn/Sub': 40, 'unSub': 0, 'PPM': 114.0, 'onG': 7, 'onGA': 9, '+/-': -2, '+/-90': -21.0, 'Ligado-Desligado': -35.0, 'onxG': 12.2, 'onxGA': 8.8, 'xG+/-': 34.0, 'xG+/-90': 35.0, 'Ligado-Desligado.1': 4.0}"
Neto Moura,br BRA,LT,Cruzeiro,26.0,1996.0,"{'MP': 13, 'Min.': 499.0, 'Mn/MP': 38, 'Min%': 146.0, '90s': 5.5, 'Inícios': 6, 'Mn/Início': 67, 'Compl': 0, 'Subs.': 7, 'Mn/Sub': 14, 'unSub': 2, 'PPM': 150.0, 'onG': 6, 'onGA': 8, '+/-': -2, '+/-90': -36.0, 'Ligado-Desligado': -51.0, 'onxG': 8.5, 'onxGA': 9.6, 'xG+/-': -11.0, 'xG+/-90': -21.0, 'Ligado-Desligado.1': -43.0}"
Lucas Mugni,ar ARG,LT.AT,Bahia,31.0,1992.0,"{'MP': 15, 'Min.': 361.0, 'Mn/MP': 24, 'Min%': 106.0, '90s': 4.0, 'Inícios': 1, 'Mn/Início': 66, 'Compl': 0, 'Subs.': 14, 'Mn/Sub': 21, 'unSub': 19, 'PPM': 120.0, 'onG': 3, 'onGA': 11, '+/-': -8, '+/-90': -199.0, 'Ligado-Desligado': -214.0, 'onxG': 3.9, 'onxGA': 9.3, 'xG+/-': -54.0, 'xG+/-90': -136.0, 'Ligado-Desligado.1': -150.0}"
Murillo,br BRA,ZG,Corinthians,20.0,2002.0,"{'MP': 13, 'Min.': 1.165, 'Mn/MP': 90, 'Min%': 341.0, '90s': 12.9, 'Inícios': 13, 'Mn/Início': 90, 'Compl': 12, 'Subs.': 0, 'Mn/Sub': None, 'unSub': 4, 'PPM': 108.0, 'onG': 12, 'onGA': 14, '+/-': -2, '+/-90': -15.0, 'Ligado-Desligado': -19.0, 'onxG': 12.8, 'onxGA': 15.6, 'xG+/-': -28.0, 'xG+/-90': -21.0, 'Ligado-Desligado.1': 3.0}"
Mycael,br BRA,G,Ath Paranaense,18.0,2004.0,"{'MP': 0, 'Min.': None, 'Mn/MP': None, 'Min%': None, '90s': None, 'Inícios': 0, 'Mn/Início': None, 'Compl': 0, 'Subs.': 0, 'Mn/Sub': None, 'unSub': 7, 'PPM': None, 'onG': None, 'onGA': None, '+/-': None, '+/-90': None, 'Ligado-Desligado': None, 'onxG': None, 'onxGA': None, 'xG+/-': None, 'xG+/-90': None, 'Ligado-Desligado.1': None}"
Andrey Ramos do Nascimento,br BRA,LT,Coritiba,24.0,1998.0,"{'MP': 26, 'Min.': 1.124, 'Mn/MP': 43, 'Min%': 329.0, '90s': 12.5, 'Inícios': 11, 'Mn/Início': 70, 'Compl': 2, 'Subs.': 15, 'Mn/Sub': 23, 'unSub': 11, 'PPM': 85.0, 'onG': 13, 'onGA': 23, '+/-': -10, '+/-90': -80.0, 'Ligado-Desligado': 6.0, 'onxG': 13.4, 'onxGA': 19.8, 'xG+/-': -64.0, 'xG+/-90': -52.0, 'Ligado-Desligado.1': 8.0}"
Bruno Nascimento,br BRA,AT.LT,Cruzeiro,25.0,1997.0,"{'MP': 35, 'Min.': 2.82, 'Mn/MP': 81, 'Min%': 825.0, '90s': 31.3, 'Inícios': 30, 'Mn/Início': 89, 'Compl': 24, 'Subs.': 5, 'Mn/Sub': 32, 'unSub': 0, 'PPM': 126.0, 'onG': 29, 'onGA': 25, '+/-': 4, '+/-90': 13.0, 'Ligado-Desligado': 28.0, 'onxG': 42.0, 'onxGA': 34.5, 'xG+/-': 75.0, 'xG+/-90': 24.0, 'Ligado-Desligado.1': 46.0}"
Matheus Nascimento,br BRA,AT.LT,Botafogo (RJ),18.0,2004.0,"{'MP': 5, 'Min.': 98.0, 'Mn/MP': 20, 'Min%': 29.0, '90s': 1.1, 'Inícios': 1, 'Mn/Início': 70, 'Compl': 0, 'Subs.': 4, 'Mn/Sub': 7, 'unSub': 6, 'PPM': 240.0, 'onG': 2, 'onGA': 0, '+/-': 2, '+/-90': 184.0, 'Ligado-Desligado': 132.0, 'onxG': 2.4, 'onxGA': 0.8, 'xG+/-': 15.0, 'xG+/-90': 142.0, 'Ligado-Desligado.1': 143.0}"
Nata,br BRA,AT.ZG,Grêmio,21.0,2001.0,"{'MP': 2, 'Min.': 16.0, 'Mn/MP': 8, 'Min%': 5.0, '90s': 0.2, 'Inícios': 0, 'Mn/Início': None, 'Compl': 0, 'Subs.': 2, 'Mn/Sub': 8, 'unSub': 17, 'PPM': 300.0, 'onG': 0, 'onGA': 0, '+/-': 0, '+/-90': 0.0, 'Ligado-Desligado': -19.0, 'onxG': 0.4, 'onxGA': 0.1, 'xG+/-': 3.0, 'xG+/-90': 208.0, 'Ligado-Desligado.1': 223.0}"
Natan,br BRA,G,América (MG),19.0,2003.0,"{'MP': 0, 'Min.': None, 'Mn/MP': None, 'Min%': None, '90s': None, 'Inícios': 0, 'Mn/Início': None, 'Compl': 0, 'Subs.': 0, 'Mn/Sub': None, 'unSub': 1, 'PPM': None, 'onG': None, 'onGA': None, '+/-': None, '+/-90': None, 'Ligado-Desligado': None, 'onxG': None, 'onxGA': None, 'xG+/-': None, 'xG+/-90': None, 'Ligado-Desligado.1': None}"
Natan,br BRA,ZG,Red Bull Bragantino,21.0,2001.0,"{'MP': 10, 'Min.': 836.0, 'Mn/MP': 84, 'Min%': 244.0, '90s': 9.3, 'Inícios': 9, 'Mn/Início': 85, 'Compl': 8, 'Subs.': 1, 'Mn/Sub': 71, 'unSub': 0, 'PPM': 120.0, 'onG': 11, 'onGA': 12, '+/-': -1, '+/-90': -11.0, 'Ligado-Desligado': -63.0, 'onxG': 14.4, 'onxGA': 11.2, 'xG+/-': 33.0, 'xG+/-90': 35.0, 'Ligado-Desligado.1': -6.0}"
Natanael,br BRA,ZG,Coritiba,21.0,2002.0,"{'MP': 33, 'Min.': 2.506, 'Mn/MP': 76, 'Min%': 733.0, '90s': 27.8, 'Inícios': 29, 'Mn/Início': 83, 'Compl': 20, 'Subs.': 4, 'Mn/Sub': 28, 'unSub': 3, 'PPM': 82.0, 'onG': 30, 'onGA': 45, '+/-': -15, '+/-90': -54.0, 'Ligado-Desligado': 114.0, 'onxG': 27.1, 'onxGA': 38.8, 'xG+/-': -117.0, 'xG+/-90': -42.0, 'Ligado-Desligado.1': 55.0}"
Nathan,br BRA,ZG,Santos,21.0,2001.0,"{'MP': 7, 'Min.': 493.0, 'Mn/MP': 70, 'Min%': 144.0, '90s': 5.5, 'Inícios': 7, 'Mn/Início': 70, 'Compl': 2, 'Subs.': 0, 'Mn/Sub': None, 'unSub': 3, 'PPM': 129.0, 'onG': 4, 'onGA': 5, '+/-': -1, '+/-90': -18.0, 'Ligado-Desligado': 56.0, 'onxG': 5.5, 'onxGA': 8.8, 'xG+/-': -33.0, 'xG+/-90': -59.0, 'Ligado-Desligado.1': -43.0}"
Nathan,br BRA,LT,Goiás,21.0,2001.0,"{'MP': 0, 'Min.': None, 'Mn/MP': None, 'Min%': None, '90s': None, 'Inícios': 0, 'Mn/Início': None, 'Compl': 0, 'Subs.': 0, 'Mn/Sub': None, 'unSub': 1, 'PPM': None, 'onG': None, 'onGA': None, '+/-': None, '+/-90': None, 'Ligado-Desligado': None, 'onxG': None, 'onxGA': None, 'xG+/-': None, 'xG+/-90': None, 'Ligado-Desligado.1': None}"
Nathan,br BRA,LT.AT,Grêmio,26.0,1996.0,"{'MP': 20, 'Min.': 683.0, 'Mn/MP': 34, 'Min%': 200.0, '90s': 7.6, 'Inícios': 7, 'Mn/Início': 57, 'Compl': 0, 'Subs.': 13, 'Mn/Sub': 22, 'unSub': 10, 'PPM': 130.0, 'onG': 10, 'onGA': 10, '+/-': 0, '+/-90': 0.0, 'Ligado-Desligado': -23.0, 'onxG': 10.8, 'onxGA': 10.3, 'xG+/-': 5.0, 'xG+/-90': 6.0, 'Ligado-Desligado.1': 25.0}"
Rafael Navarro,br BRA,AT,Palmeiras,22.0,2000.0,"{'MP': 3, 'Min.': 125.0, 'Mn/MP': 42, 'Min%': 37.0, '90s': 1.4, 'Inícios': 1, 'Mn/Início': 68, 'Compl': 0, 'Subs.': 2, 'Mn/Sub': 29, 'unSub': 9, 'PPM': 233.0, 'onG': 3, 'onGA': 3, '+/-': 0, '+/-90': 0.0, 'Ligado-Desligado': -85.0, 'onxG': 2.5, 'onxGA': 1.7, 'xG+/-': 8.0, 'xG+/-90': 55.0, 'Ligado-Desligado.1': 8.0}"
Kaiky Naves,br BRA,ZG.AT,Palmeiras,20.0,2002.0,"{'MP': 10, 'Min.': 526.0, 'Mn/MP': 53, 'Min%': 154.0, '90s': 5.8, 'Inícios': 5, 'Mn/Início': 78, 'Compl': 2, 'Subs.': 5, 'Mn/Sub': 27, 'unSub': 23, 'PPM': 160.0, 'onG': 11, 'onGA': 4, '+/-': 7, '+/-90': 120.0, 'Ligado-Desligado': 45.0, 'onxG': 9.5, 'onxGA': 8.0, 'xG+/-': 14.0, 'xG+/-90': 25.0, 'Ligado-Desligado.1': -26.0}"
Felipe Negrucci,br BRA,LT,São Paulo,18.0,2004.0,"{'MP': 1, 'Min.': 15.0, 'Mn/MP': 15, 'Min%': 4.0, '90s': 0.2, 'Inícios': 0, 'Mn/Início': None, 'Compl': 0, 'Subs.': 1, 'Mn/Sub': 15, 'unSub': 6, 'PPM': 100.0, 'onG': 0, 'onGA': 1, '+/-': -1, '+/-90': -600.0, 'Ligado-Desligado': -608.0, 'onxG': 0.2, 'onxGA': 1.0, 'xG+/-': -8.0, 'xG+/-90': -452.0, 'Ligado-Desligado.1': -487.0}"
Emerson Negueba,br BRA,AT,Cuiabá,22.0,2000.0,"{'MP': 10, 'Min.': 484.0, 'Mn/MP': 48, 'Min%': 142.0, '90s': 5.4, 'Inícios': 5, 'Mn/Início': 71, 'Compl': 1, 'Subs.': 5, 'Mn/Sub': 25, 'unSub': 26, 'PPM': 120.0, 'onG': 6, 'onGA': 10, '+/-': -4, '+/-90': -74.0, 'Ligado-Desligado': -90.0, 'onxG': 4.2, 'onxGA': 8.4, 'xG+/-': -41.0, 'xG+/-90': -77.0, 'Ligado-Desligado.1': -79.0}"
Neris,br BRA,ZG,Cruzeiro,30.0,1992.0,"{'MP': 26, 'Min.': 2.113, 'Mn/MP': 81, 'Min%': 618.0, '90s': 23.5, 'Inícios': 24, 'Mn/Início': 86, 'Compl': 20, 'Subs.': 2, 'Mn/Sub': 27, 'unSub': 9, 'PPM': 123.0, 'onG': 19, 'onGA': 18, '+/-': 1, '+/-90': 4.0, 'Ligado-Desligado': -10.0, 'onxG': 26.5, 'onxGA': 23.6, 'xG+/-': 29.0, 'xG+/-90': 13.0, 'Ligado-Desligado.1': -9.0}"
Rodrigo Nestor,br BRA,LT.AT,São Paulo,22.0,2000.0,"{'MP': 25, 'Min.': 1.451, 'Mn/MP': 58, 'Min%': 424.0, '90s': 16.1, 'Inícios': 17, 'Mn/Início': 71, 'Compl': 0, 'Subs.': 8, 'Mn/Sub': 30, 'unSub': 1, 'PPM': 148.0, 'onG': 13, 'onGA': 19, '+/-': -6, '+/-90': -37.0, 'Ligado-Desligado': -74.0, 'onxG': 20.6, 'onxGA': 16.5, 'xG+/-': 41.0, 'xG+/-90': 25.0, 'Ligado-Desligado.1': -13.0}"
João Neto,br BRA,LT.ZG,Fluminense,19.0,2003.0,"{'MP': 3, 'Min.': 52.0, 'Mn/MP': 17, 'Min%': 15.0, '90s': 0.6, 'Inícios': 0, 'Mn/Início': None, 'Compl': 0, 'Subs.': 3, 'Mn/Sub': 17, 'unSub': 2, 'PPM': 33.0, 'onG': 2, 'onGA': 2, '+/-': 0, '+/-90': 0.0, 'Ligado-Desligado': -11.0, 'onxG': 1.0, 'onxGA': 0.6, 'xG+/-': 3.0, 'xG+/-90': 57.0, 'Ligado-Desligado.1': 52.0}"
Gabriel Neves,uy URU,LT,São Paulo,25.0,1997.0,"{'MP': 20, 'Min.': 967.0, 'Mn/MP': 48, 'Min%': 283.0, '90s': 10.7, 'Inícios': 13, 'Mn/Início': 64, 'Compl': 1, 'Subs.': 7, 'Mn/Sub': 19, 'unSub': 8, 'PPM': 160.0, 'onG': 14, 'onGA': 11, '+/-': 3, '+/-90': 28.0, 'Ligado-Desligado': 32.0, 'onxG': 12.9, 'onxGA': 8.9, 'xG+/-': 40.0, 'xG+/-90': 37.0, 'Ligado-Desligado.1': 6.0}"
Newton,br BRA,LT,Botafogo (RJ),22.0,2000.0,"{'MP': 1, 'Min.': 8.0, 'Mn/MP': 8, 'Min%': 2.0, '90s': 0.1, 'Inícios': 0, 'Mn/Início': None, 'Compl': 0, 'Subs.': 1, 'Mn/Sub': 8, 'unSub': 2, 'PPM': 100.0, 'onG': 0, 'onGA': 0, '+/-': 0, '+/-90': 0.0, 'Ligado-Desligado': -55.0, 'onxG': 0.1, 'onxGA': 0.0, 'xG+/-': 1.0, 'xG+/-90': 71.0, 'Ligado-Desligado.1': 67.0}"
Nicolas,br BRA,ZG,América (MG),25.0,1997.0,"{'MP': 11, 'Min.': 720.0, 'Mn/MP': 65, 'Min%': 211.0, '90s': 8.0, 'Inícios': 8, 'Mn/Início': 79, 'Compl': 3, 'Subs.': 3, 'Mn/Sub': 30, 'unSub': 10, 'PPM': 55.0, 'onG': 11, 'onGA': 16, '+/-': -5, '+/-90': -62.0, 'Ligado-Desligado': 51.0, 'onxG': 12.3, 'onxGA': 11.4, 'xG+/-': 9.0, 'xG+/-90': 11.0, 'Ligado-Desligado.1': 67.0}"
Nikão,br BRA,AT.LT,Cruzeiro,30.0,1992.0,"{'MP': 22, 'Min.': 798.0, 'Mn/MP': 36, 'Min%': 233.0, '90s': 8.9, 'Inícios': 7, 'Mn/Início': 72, 'Compl': 1, 'Subs.': 15, 'Mn/Sub': 19, 'unSub': 7, 'PPM': 123.0, 'onG': 11, 'onGA': 7, '+/-': 4, '+/-90': 45.0, 'Ligado-Desligado': 49.0, 'onxG': 10.4, 'onxGA': 8.9, 'xG+/-': 15.0, 'xG+/-90': 17.0, 'Ligado-Desligado.1': 2.0}"
Nino,br BRA,ZG,Fluminense,25.0,1997.0,"{'MP': 26, 'Min.': 2.155, 'Mn/MP': 83, 'Min%': 630.0, '90s': 23.9, 'Inícios': 26, 'Mn/Início': 83, 'Compl': 19, 'Subs.': 0, 'Mn/Sub': None, 'unSub': 0, 'PPM': 162.0, 'onG': 34, 'onGA': 27, '+/-': 7, '+/-90': 29.0, 'Ligado-Desligado': 51.0, 'onxG': 32.6, 'onxGA': 31.6, 'xG+/-': 10.0, 'xG+/-90': 4.0, 'Ligado-Desligado.1': -3.0}"
Freddy Noguera,py PAR,AT,Grêmio,19.0,2004.0,"{'MP': 1, 'Min.': 30.0, 'Mn/MP': 30, 'Min%': 9.0, '90s': 0.3, 'Inícios': 0, 'Mn/Início': None, 'Compl': 0, 'Subs.': 1, 'Mn/Sub': 30, 'unSub': 0, 'PPM': 300.0, 'onG': 0, 'onGA': 0, '+/-': 0, '+/-90': 0.0, 'Ligado-Desligado': -19.0, 'onxG': 0.1, 'onxGA': 0.3, 'xG+/-': -2.0, 'xG+/-90': -52.0, 'Ligado-Desligado.1': -38.0}"
Daniel Nolasco,br BRA,ZG,Goiás,18.0,2004.0,"{'MP': 0, 'Min.': None, 'Mn/MP': None, 'Min%': None, '90s': None, 'Inícios': 0, 'Mn/Início': None, 'Compl': 0, 'Subs.': 0, 'Mn/Sub': None, 'unSub': 1, 'PPM': None, 'onG': None, 'onGA': None, '+/-': None, '+/-90': None, 'Ligado-Desligado': None, 'onxG': None, 'onxGA': None, 'xG+/-': None, 'xG+/-90': None, 'Ligado-Desligado.1': None}"
Nonato,br BRA,LT,Santos,24.0,1998.0,"{'MP': 14, 'Min.': 661.0, 'Mn/MP': 47, 'Min%': 193.0, '90s': 7.3, 'Inícios': 7, 'Mn/Início': 64, 'Compl': 0, 'Subs.': 7, 'Mn/Sub': 30, 'unSub': 5, 'PPM': 150.0, 'onG': 7, 'onGA': 11, '+/-': -4, '+/-90': -54.0, 'Ligado-Desligado': 14.0, 'onxG': 6.7, 'onxGA': 7.2, 'xG+/-': -5.0, 'xG+/-90': -7.0, 'Ligado-Desligado.1': 19.0}"
Gabriel Novaes,br BRA,AT,Goiás,23.0,1999.0,"{'MP': 3, 'Min.': 95.0, 'Mn/MP': 32, 'Min%': 28.0, '90s': 1.1, 'Inícios': 1, 'Mn/Início': 66, 'Compl': 0, 'Subs.': 2, 'Mn/Sub': 15, 'unSub': 1, 'PPM': 33.0, 'onG': 0, 'onGA': 2, '+/-': -2, '+/-90': -189.0, 'Ligado-Desligado': -149.0, 'onxG': 0.7, 'onxGA': 1.9, 'xG+/-': -12.0, 'xG+/-90': -114.0, 'Ligado-Desligado.1': -91.0}"
Gustavo Nunes,br BRA,LT,Grêmio,17.0,2005.0,"{'MP': 0, 'Min.': None, 'Mn/MP': None, 'Min%': None, '90s': None, 'Inícios': 0, 'Mn/Início': None, 'Compl': 0, 'Subs.': 0, 'Mn/Sub': None, 'unSub': 1, 'PPM': None, 'onG': None, 'onGA': None, '+/-': None, '+/-90': None, 'Ligado-Desligado': None, 'onxG': None, 'onxGA': None, 'xG+/-': None, 'xG+/-90': None, 'Ligado-Desligado.1': None}"
Ruan Oliveira Ferreira,br BRA,LT.AT,Corinthians,22.0,2000.0,"{'MP': 19, 'Min.': 883.0, 'Mn/MP': 46, 'Min%': 258.0, '90s': 9.8, 'Inícios': 11, 'Mn/Início': 67, 'Compl': 2, 'Subs.': 8, 'Mn/Sub': 18, 'unSub': 7, 'PPM': 158.0, 'onG': 16, 'onGA': 10, '+/-': 6, '+/-90': 61.0, 'Ligado-Desligado': 86.0, 'onxG': 11.6, 'onxGA': 15.6, 'xG+/-': -40.0, 'xG+/-90': -41.0, 'Ligado-Desligado.1': -23.0}"
Lucas Oliveira,br BRA,ZG,Cruzeiro,26.0,1996.0,"{'MP': 16, 'Min.': 1.31, 'Mn/MP': 82, 'Min%': 383.0, '90s': 14.6, 'Inícios': 15, 'Mn/Início': 85, 'Compl': 11, 'Subs.': 1, 'Mn/Sub': 33, 'unSub': 13, 'PPM': 125.0, 'onG': 13, 'onGA': 12, '+/-': 1, '+/-90': 7.0, 'Ligado-Desligado': -2.0, 'onxG': 18.9, 'onxGA': 17.5, 'xG+/-': 14.0, 'xG+/-90': 10.0, 'Ligado-Desligado.1': -10.0}"
Pedro Oliveira,br BRA,AT.LT,Goiás,18.0,2004.0,"{'MP': 4, 'Min.': 195.0, 'Mn/MP': 49, 'Min%': 57.0, '90s': 2.2, 'Inícios': 2, 'Mn/Início': 86, 'Compl': 1, 'Subs.': 2, 'Mn/Sub': 12, 'unSub': 1, 'PPM': 150.0, 'onG': 1, 'onGA': 2, '+/-': -1, '+/-90': -46.0, 'Ligado-Desligado': -2.0, 'onxG': 1.3, 'onxGA': 2.2, 'xG+/-': -9.0, 'xG+/-90': -42.0, 'Ligado-Desligado.1': -18.0}"
Cauly Oliveira Souza,br BRA,LT.AT,Bahia,27.0,1995.0,"{'MP': 32, 'Min.': 2.543, 'Mn/MP': 79, 'Min%': 744.0, '90s': 28.3, 'Inícios': 30, 'Mn/Início': 82, 'Compl': 17, 'Subs.': 2, 'Mn/Sub': 37, 'unSub': 0, 'PPM': 122.0, 'onG': 41, 'onGA': 36, '+/-': 5, '+/-90': 18.0, 'Ligado-Desligado': 100.0, 'onxG': 39.0, 'onxGA': 35.7, 'xG+/-': 33.0, 'xG+/-90': 12.0, 'Ligado-Desligado.1': 52.0}"
Luca Orellano,ar ARG,AT.LT,Vasco da Gama,22.0,2000.0,"{'MP': 18, 'Min.': 622.0, 'Mn/MP': 35, 'Min%': 182.0, '90s': 6.9, 'Inícios': 6, 'Mn/Início': 65, 'Compl': 0, 'Subs.': 12, 'Mn/Sub': 19, 'unSub': 10, 'PPM': 67.0, 'onG': 6, 'onGA': 16, '+/-': -10, '+/-90': -145.0, 'Ligado-Desligado': -145.0, 'onxG': 9.4, 'onxGA': 8.1, 'xG+/-': 13.0, 'xG+/-90': 18.0, 'Ligado-Desligado.1': 18.0}"
Leo Ortiz,br BRA,ZG,Red Bull Bragantino,27.0,1996.0,"{'MP': 20, 'Min.': 1.603, 'Mn/MP': 80, 'Min%': 469.0, '90s': 17.8, 'Inícios': 19, 'Mn/Início': 84, 'Compl': 16, 'Subs.': 1, 'Mn/Sub': 16, 'unSub': 2, 'PPM': 160.0, 'onG': 21, 'onGA': 15, '+/-': 6, '+/-90': 34.0, 'Ligado-Desligado': -6.0, 'onxG': 28.7, 'onxGA': 20.8, 'xG+/-': 79.0, 'xG+/-90': 44.0, 'Ligado-Desligado.1': 8.0}"
Otávio,br BRA,LT,Atlético Mineiro,28.0,1994.0,"{'MP': 27, 'Min.': 2.307, 'Mn/MP': 85, 'Min%': 675.0, '90s': 25.6, 'Inícios': 27, 'Mn/Início': 85, 'Compl': 22, 'Subs.': 0, 'Mn/Sub': None, 'unSub': 5, 'PPM': 185.0, 'onG': 34, 'onGA': 21, '+/-': 13, '+/-90': 51.0, 'Ligado-Desligado': -6.0, 'onxG': 28.3, 'onxGA': 29.4, 'xG+/-': -12.0, 'xG+/-90': -5.0, 'Ligado-Desligado.1': -61.0}"
João Othavio Basso,br BRA,ZG,Santos,26.0,1997.0,"{'MP': 14, 'Min.': 1.15, 'Mn/MP': 82, 'Min%': 336.0, '90s': 12.8, 'Inícios': 14, 'Mn/Início': 82, 'Compl': 12, 'Subs.': 0, 'Mn/Sub': None, 'unSub': 1, 'PPM': 121.0, 'onG': 16, 'onGA': 28, '+/-': -12, '+/-90': -94.0, 'Ligado-Desligado': -42.0, 'onxG': 18.2, 'onxGA': 17.7, 'xG+/-': 6.0, 'xG+/-90': 5.0, 'Ligado-Desligado.1': 41.0}"
Luis Oyama,br BRA,LT,Goiás,26.0,1997.0,"{'MP': 9, 'Min.': 561.0, 'Mn/MP': 62, 'Min%': 164.0, '90s': 6.2, 'Inícios': 5, 'Mn/Início': 81, 'Compl': 2, 'Subs.': 4, 'Mn/Sub': 40, 'unSub': 15, 'PPM': 67.0, 'onG': 5, 'onGA': 8, '+/-': -3, '+/-90': -48.0, 'Ligado-Desligado': -4.0, 'onxG': 5.3, 'onxGA': 6.1, 'xG+/-': -8.0, 'xG+/-90': -13.0, 'Ligado-Desligado.1': 14.0}"
Pablinho,br BRA,AT,Cuiabá,19.0,2003.0,"{'MP': 2, 'Min.': 34.0, 'Mn/MP': 17, 'Min%': 10.0, '90s': 0.4, 'Inícios': 0, 'Mn/Início': None, 'Compl': 0, 'Subs.': 2, 'Mn/Sub': 17, 'unSub': 4, 'PPM': 50.0, 'onG': 0, 'onGA': 0, '+/-': 0, '+/-90': 0.0, 'Ligado-Desligado': -3.0, 'onxG': 0.3, 'onxGA': 0.3, 'xG+/-': 1.0, 'xG+/-90': 21.0, 'Ligado-Desligado.1': 31.0}"
Pablo,br BRA,AT,Ath Paranaense,30.0,1992.0,"{'MP': 25, 'Min.': 1.396, 'Mn/MP': 56, 'Min%': 408.0, '90s': 15.5, 'Inícios': 14, 'Mn/Início': 80, 'Compl': 8, 'Subs.': 11, 'Mn/Sub': 25, 'unSub': 0, 'PPM': 164.0, 'onG': 24, 'onGA': 19, '+/-': 5, '+/-90': 32.0, 'Ligado-Desligado': 19.0, 'onxG': 23.8, 'onxGA': 16.9, 'xG+/-': 69.0, 'xG+/-90': 44.0, 'Ligado-Desligado.1': 55.0}"
Pablo,br BRA,ZG,Flamengo,31.0,1991.0,"{'MP': 7, 'Min.': 421.0, 'Mn/MP': 60, 'Min%': 123.0, '90s': 4.7, 'Inícios': 4, 'Mn/Início': 83, 'Compl': 2, 'Subs.': 3, 'Mn/Sub': 30, 'unSub': 31, 'PPM': 114.0, 'onG': 3, 'onGA': 6, '+/-': -3, '+/-90': -64.0, 'Ligado-Desligado': -115.0, 'onxG': 4.1, 'onxGA': 4.5, 'xG+/-': -5.0, 'xG+/-90': -10.0, 'Ligado-Desligado.1': -26.0}"
Juan Pablo,br BRA,ZG,Cuiabá,20.0,2002.0,"{'MP': 0, 'Min.': None, 'Mn/MP': None, 'Min%': None, '90s': None, 'Inícios': 0, 'Mn/Início': None, 'Compl': 0, 'Subs.': 0, 'Mn/Sub': None, 'unSub': 10, 'PPM': None, 'onG': None, 'onGA': None, '+/-': None, '+/-90': None, 'Ligado-Desligado': None, 'onxG': None, 'onxGA': None, 'xG+/-': None, 'xG+/-90': None, 'Ligado-Desligado.1': None}"
Bruno Pacheco,br BRA,ZG,Fortaleza,31.0,1991.0,"{'MP': 31, 'Min.': 2.669, 'Mn/MP': 86, 'Min%': 780.0, '90s': 29.7, 'Inícios': 30, 'Mn/Início': 89, 'Compl': 25, 'Subs.': 1, 'Mn/Sub': 14, 'unSub': 4, 'PPM': 152.0, 'onG': 37, 'onGA': 34, '+/-': 3, '+/-90': 10.0, 'Ligado-Desligado': 34.0, 'onxG': 41.6, 'onxGA': 33.1, 'xG+/-': 85.0, 'xG+/-90': 29.0, 'Ligado-Desligado.1': 39.0}"
Ariel Palacio,br BRA,AT,Goiás,24.0,1998.0,"{'MP': 0, 'Min.': None, 'Mn/MP': None, 'Min%': None, '90s': None, 'Inícios': 0, 'Mn/Início': None, 'Compl': 0, 'Subs.': 0, 'Mn/Sub': None, 'unSub': 6, 'PPM': None, 'onG': None, 'onGA': None, '+/-': None, '+/-90': None, 'Ligado-Desligado': None, 'onxG': None, 'onxGA': None, 'xG+/-': None, 'xG+/-90': None, 'Ligado-Desligado.1': None}"
Helibelton Palacios,co COL,ZG,Cruzeiro,29.0,1993.0,"{'MP': 10, 'Min.': 629.0, 'Mn/MP': 63, 'Min%': 184.0, '90s': 7.0, 'Inícios': 6, 'Mn/Início': 82, 'Compl': 3, 'Subs.': 4, 'Mn/Sub': 34, 'unSub': 14, 'PPM': 60.0, 'onG': 3, 'onGA': 8, '+/-': -5, '+/-90': -72.0, 'Ligado-Desligado': -97.0, 'onxG': 7.1, 'onxGA': 8.2, 'xG+/-': -11.0, 'xG+/-90': -15.0, 'Ligado-Desligado.1': -38.0}"
