Fellipe Bastos,br BRA,LT,Goiás,32,1990,1,0,36,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
Diogo Batista,br BRA,ZG.LT,Coritiba,19,2003,11,5,531,5.9,0,1,1,0,0,0,1,0,0.2,0.2,0.6,0.8,8,21,13,0.00,0.17,0.17,0.00,0.17,0.03,0.11,0.14,0.03,0.14,Partidas
Rodrigo Battaglia,ar ARG,LT,Atlético Mineiro,31,1991,22,19,1.728,19.2,0,1,1,0,0,0,6,0,0.9,0.9,0.4,1.3,38,80,27,0.00,0.05,0.05,0.00,0.05,0.05,0.02,0.07,0.05,0.07,Partidas
José Luis Rodríguez Bebanz,uy URU,ZG,Vasco da Gama,25,1997,32,22,1.997,22.2,2,1,3,2,0,0,2,0,2.8,2.8,2.2,5.0,56,99,95,0.09,0.05,0.14,0.09,0.14,0.12,0.10,0.23,0.12,0.23,Partidas
Matheus Belém,br BRA,ZG,São Paulo,19,2003,2,2,169,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
Lucas Belezi,br BRA,ZG,Ath Paranaense,19,2003,1,0,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidas
Ramiro Benetti,br BRA,LT,Cruzeiro,29,1993,6,6,407,4.5,1,1,2,1,0,0,3,0,0.8,0.8,0.6,1.4,4,26,13,0.22,0.22,0.44,0.22,0.44,0.17,0.14,0.31,0.17,0.31,Partidas
Martín Benítez,ar ARG,LT.AT,América (MG),28,1994,20,14,1.120,12.4,3,4,7,3,0,0,4,0,2.6,2.6,4.0,6.5,26,77,56,0.24,0.32,0.56,0.24,0.56,0.21,0.32,0.53,0.21,0.53,Partidas
Bento,br BRA,G,Ath Paranaense,23,1999,33,33,2.970,33.0,0,1,1,0,0,0,3,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Partidas
Lucas Beraldo,br BRA,ZG,São Paulo,19,2003,24,24,2.160,24.0,1,0,1,1,0,0,7,0,1.0,1.0,0.6,1.6,16,129,3,0.04,0.00,0.04,0.04,0.04,0.04,0.02,0.07,0.04,0.07,Partidas
Lucas Besozzi,ar ARG,AT.LT,Grêmio,20,2003,12,5,399,4.4,1,1,2,1,0,0,1,0,0.3,0.3,0.4,0.7,30,23,47,0.23,0.23,0.45,0.23,0.45,0.07,0.09,0.16,0.07,0.16,Partidas

