Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 36_level_0
Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas
67,Rodrigo Battaglia,ar ARG,LT,Atlético Mineiro,31,1991,22,19,1728,192,0,1,1,0,0,0,6,0,09,09,04,1.3,38,80,27,0.00,0.05,0.05,0.00,0.05,0.05,0.02,0.07,0.05,0.07,Partidas
68,José Luis Rodríguez Bebanz,uy URU,ZG,Vasco da Gama,25,1997,32,22,1997,222,2,1,3,2,0,0,2,0,28,28,22,5.0,56,99,95,0.09,0.05,0.14,0.09,0.14,0.12,0.10,0.23,0.12,0.23,Partidas
69,Matheus Belém,br BRA,ZG,São Paulo,19,2003,2,2,169,19,0,0,0,0,0,0,1,0,00,00,00,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
70,Lucas Belezi,br BRA,ZG,Ath Paranaense,19,2003,1,0,45,05,0,0,0,0,0,0,1,0,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidas
71,Ramiro Benetti,br BRA,LT,Cruzeiro,29,1993,6,6,407,45,1,1,2,1,0,0,3,0,08,08,06,1.4,4,26,13,0.22,0.22,0.44,0.22,0.44,0.17,0.14,0.31,0.17,0.31,Partidas
72,Martín Benítez,ar ARG,"LT,AT",América (MG),28,1994,20,14,1120,124,3,4,7,3,0,0,4,0,26,26,40,6.5,26,77,56,0.24,0.32,0.56,0.24,0.56,0.21,0.32,0.53,0.21,0.53,Partidas
73,Bento,br BRA,G,Ath Paranaense,23,1999,33,33,2970,330,0,1,1,0,0,0,3,0,00,00,03,0.3,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Partidas
74,Lucas Beraldo,br BRA,ZG,São Paulo,19,2003,24,24,2160,240,1,0,1,1,0,0,7,0,10,10,06,1.6,16,129,3,0.04,0.00,0.04,0.04,0.04,0.04,0.02,0.07,0.04,0.07,Partidas
75,Lucas Besozzi,ar ARG,"AT,LT",Grêmio,20,2003,12,5,399,44,1,1,2,1,0,0,1,0,03,03,04,0.7,30,23,47,0.23,0.23,0.45,0.23,0.45,0.07,0.09,0.16,0.07,0.16,Partidas
Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas
76,Matheus Bianqui,br BRA,LT,Coritiba,25,1998,28,17,1420,158,2,1,3,2,0,0,8,0,17,17,13,3.0,10,41,41,0.13,0.06,0.19,0.13,0.19,0.11,0.08,0.19,0.11,0.19,Partidas
77,Raul Bicalho,br BRA,ZG,Bahia,23,1999,7,4,321,36,0,0,0,0,0,0,1,0,03,03,00,0.3,7,19,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Partidas
78,Matheus Bidu,br BRA,ZG,Corinthians,23,1999,24,19,1659,184,0,0,0,0,0,0,2,0,04,04,14,1.8,58,88,100,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Partidas
79,Biel,br BRA,"AT,LT",Bahia,21,2001,25,15,1361,151,5,1,6,5,0,0,4,0,52,52,44,9.6,51,57,117,0.33,0.07,0.40,0.33,0.40,0.34,0.29,0.64,0.34,0.64,Partidas
80,Rafael Bilu,br BRA,AT,Cruzeiro,23,1999,4,1,86,10,0,0,0,0,0,0,0,0,07,07,08,1.4,5,2,8,0.00,0.00,0.00,0.00,0.00,0.71,0.80,1.51,0.71,1.51,Partidas
81,Guilherme Biro,br BRA,"AT,LT",Corinthians,18,2004,11,7,572,64,0,0,0,0,0,0,2,0,07,07,05,1.3,18,18,44,0.00,0.00,0.00,0.00,0.00,0.12,0.08,0.20,0.12,0.20,Partidas
